,STN_NM,위도,경도,주소
3110,수유3동우체국,37.64019064170867,127.02809389420418,"수유3동우체국, 도봉로, 번동, 강북구, 서울, 01064, 대한민국"
3111,수유역.노스페이스문화센터,37.63907062181351,127.02686462450164,"수유역강북웨딩홀, 도봉로, 번동, 강북구, 서울, 01065, 대한민국"
3112,수유역.강북구청,37.63766350241389,127.02510421500432,"수유역강북구청, 도봉로, 수유동, 강북구, 서울, 01065, 대한민국"
3113,미아역신일중고,37.62740171711603,127.0256370934013,"미아역 8번출구, 도봉로, 미아동, 강북구, 서울, 01179, 대한민국"
3114,영신여객차고지(우이동종점),37.662891000909774,127.01172699999609,"삼양로173가길, 우이동, 강북구, 서울, 01000, 대한민국"
3115,영신여객차고지(우이동종점),37.66300800090851,127.01169699999475,"143, 삼양로173길, 우이동, 강북구, 서울, 01000, 대한민국"
3116,미아사거리역,37.61539170441452,127.02988953199852,"새한셀프주유소, 도봉로, 송천동, 강북구, 서울, 01179, 대한민국"
3117,미아사거리역,37.6117696061089,127.03040520049656,"미아사거리역, 도봉로, 송중동, 강북구, 서울, 02733, 대한민국"
3118,한신대학교,37.63538764951626,127.01316128080526,"한신대학교, 인수봉로51길, 인수동, 강북구, 서울, 01100, 대한민국"
3119,수유사거리,37.63477114570974,127.02421388900387,"보람빌딩/수유사거리, 덕릉로, 번동, 강북구, 서울, 01131, 대한민국"
